Key,Values
report,reports;details;
test,test1;test2;test3
Teamcenter,plm;tc;tc9;tc11;tc12;
SAP,ERP;erp
RevisionId,rev;revision;
Hi,hello;hi there;hi…;hi..;hi….;
password,passwords
locate,find;get;search;
FCT_AWS,fct;fourcolors;fct_aws;
TX,texas;TEXAS;
NC,North Carolina;NorthCarolina;nc
{LoginName},me;mine;i;myself;my
